"id","decade","app.timing","app.mthd","crop","crop.hght","incorp.descrip","man.source","man.dm","man.ph","man.trt","air.temp","wind.2m","rain.rate","EFp"
"224-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,6
"273-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,10
"333-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,5.7
"373-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,7.5
"058-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,9.6
"157-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,6
"223-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,7.7
"272-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,11
"332-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,7
"372-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,8.7
"061-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,6.7
"160-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,2
"226-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,3.1
"275-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,8.8
"335-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,4.1
"375-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,5.3
"060-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,7.8
"159-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,2.6
